NMDGF,sample_year,NK,taxon_name,intermediate,sex,uncertain_sex,mass,bursa,length_mm_1,length_mm_2,length_mm_3,anterior_width,poserior_width,width _1st_curve,width_2nd_curve,width_straight_mdpt,mass_trachea+syrinx,segment_count1,segment_count2
5,2020,281703,Antigone canadensis canadensis,,M,1,3450,N,757,761,758,16.01,9.93,9.66,10.02,10.17,27.3,285,290
80,2020,281743,Antigone canadensis canadensis,,M,1,3850,NA,662,667,664,13.23,9.5,7.97,8.85,8.3,16.8,286,276
105,2020,281749,Antigone canadensis tabida,,M,1,5650,N,774,771,768,15.7,9.79,9.79,11.12,10.61,24.6,321,326
109,2020,281755,Antigone canadensis tabida,,UNKOWN,1,4600,Y,586,588,589,14.22,8.36,11.76,11.8,10.48,14.3,286,289
27,2020,281775,Antigone canadensis tabida,,F,1,4900,NA,713,708,715,15.51,9.57,9.06,10.11,9.26,24.1,299,289
4,2020,281782,Antigone canadensis tabida,,UNKOWN,1,5300,NA,667,669,667,18.14,11.25,10.24,10.11,11.01,18.4,292,294
75,2020,281793,Antigone canadensis tabida,,M,1,4850,N,605,600,605,15.57,10.35,9.86,10.19,10.99,13.3,291,287
86,2020,281799,Antigone canadensis tabida,,F,1,4700,N,530,533,535,13.48,9.52,9.66,10.37,8.25,12.3,251,251
89,2020,281802,Antigone canadensis tabida,,F,1,4550,N,576,581,580,14.96,9.97,8.97,10.79,9.1,16.1,286,286
98,2020,281810,Antigone canadensis tabida,,F,1,4900,NA,609,608,610,14.43,9.36,8.17,8.91,9.98,21.7,270,270
4,2020,281816,Antigone canadensis tabida,,UNKOWN,1,5300,Y,650,645,644,18.07,10.76,11.14,11.75,11.78,,255,255
13,2020,281823,Antigone canadensis canadensis,,UNKOWN,1,3900,N,613,615,612,14.77,10.23,8.23,9.09,8.31,13.8,288,283
56,2020,281826,Antigone canadensis tabida,,UNKOWN,1,4550,N,578,580,576,13.97,9.75,7.3,NA,9.21,16.2,269,272
57,2020,281827,Antigone canadensis tabida,,F,1,4950,NA,650,645,648,14.33,9.18,9.26,10.32,8.62,17,276,279
62,2020,281829,Antigone canadensis tabida,,F,1,4900,N,654,650,653,15.7,10.4,10.1,10.31,10.16,19.3,256,262
79,2020,281846,Antigone canadensis tabida,,M,1,5350,N,688,692,695,16.44,10.87,12.5,10.34,10.56,21.8,302,307
188,2021,281852,Antigone canadensis canadensis,,M,1,3700,N,605,603,604,14.21,9.59,10.54,9.32,8.67,15.5,289,284
196,2021,281854,Antigone canadensis canadensis,,M,1,3250,N,662,660,663,14.2,9.99,10.6,10.4,9.22,12.7,293,283
220,2021,281858,Antigone canadensis canadensis,,M,1,3950,N,644,645,644,13.95,10.6,10.58,8.99,9.56,19.6,304,307
,2009,170348,Antigone canadensis tabida,,F,0,4992,N,721,,,,10.9,,,,,,
,2009,170349,Antigone canadensis tabida,,M,0,5807,NA,788,,,,10.8,,,,,,
,2009,170353,Antigone canadensis tabida,,F,0,5256,N,710,,,,11.9,,,,,,
,2009,170354,Antigone canadensis tabida,,M,0,6121,NA,768,,,,11.8,,,,,,
,2009,170390,Antigone canadensis tabida,,M,0,5155,NA,695,,,,12.5,,,,,,
,2009,170391,Antigone canadensis canadensis,,M,0,3150,NA,677,,,,8.9,,,,,,
,2009,170392,Antigone canadensis canadensis,,F,0,3169,NA,601,,,,9.3,,,,,,
,2009,170394,Antigone canadensis canadensis,,F,0,3033,NA,522,,,,10.2,,,,,,
,2009,170395,Antigone canadensis tabida,,F,0,4705,NA,668,,,,11.1,,,,,,
,2009,170396,Antigone canadensis tabida,,F,0,5165,NA,614,,,,10.2,,,,,,
,2009,170397,Antigone canadensis canadensis,,F,0,2857,NA,492,,,,10.5,,,,,,
,2009,170398,Antigone canadensis tabida,,F,0,4854,N,724,,,,11.4,,,,,,
,2009,170399,Antigone canadensis tabida,,M,0,6046,N,785,,,,12,,,,,,
,2009,170400,Antigone canadensis tabida,,M,0,6106,N,800,,,,11.1,,,,,,
,2009,170401,Antigone canadensis tabida,,M,0,5825,N,749,,,,11.8,,,,,,
,2009,170402,Antigone canadensis tabida,,M,0,5691,N,784,,,,12,,,,,,
,2009,170403,Antigone canadensis tabida,,M,0,5334,Y,709,,,,11.5,,,,,,
,2009,170404,Antigone canadensis canadensis,,M,0,3586,Y,636,,,,9.5,,,,,,
,2009,170405,Antigone canadensis canadensis,,F,0,3172,N,580,,,,9,,,,,,
,2009,170406,Antigone canadensis canadensis,,M,0,3498,Y,634,,,,9.7,,,,,,
,2009,170410,Antigone canadensis tabida,,M,0,5770,N,802,,,,11.2,,,,,,
,2009,170411,Antigone canadensis tabida,,M,0,5814,N,749,,,,10.8,,,,,,
,2009,170412,Antigone canadensis tabida,,M,0,5273,N,820,,,,12.5,,,,,,
,2009,170413,Antigone canadensis tabida,,F,0,5140,N,692,,,,11,,,,,,
,2009,170416,Antigone canadensis canadensis,,F,0,3222,NA,614,,,,9.3,,,,,,
,2009,170417,Antigone canadensis canadensis,,F,0,3480,N,567,,,,9.2,,,,,,
,2009,170418,Antigone canadensis canadensis,,M,0,3318,N,674,,,,10,,,,,,
,2009,170422,Antigone canadensis canadensis,,F,0,3106,N,570,,,,8.9,,,,,,
,2009,170423,Antigone canadensis canadensis,,F,0,2981,N,500,,,,8.9,,,,,,
,2009,170424,Antigone canadensis canadensis,,M,0,3393,Y,635,,,,10.2,,,,,,
,2009,170425,Antigone canadensis canadensis,,M,0,3305,Y,609,,,,9.2,,,,,,
,2009,170426,Antigone canadensis tabida,,F,0,5222,N,730,,,,11,,,,,,
