,NMDGF,sample_year,NK,taxon_name,intermediate,sex,uncertain_sex,bursa,length_mm_1,length_mm_2,length_mm_3,anterior_width,poserior_width,width_2nd_curve,width_straight_mdpt,mass_trachea+syrinx,segment_count1,segment_count2,taxon.name,tail,wing.chord,anterior.culmen,posterior.culmen,tarsus,data.origin,mass,width_1st_curve,mean_trachea_length,segment_count_mean,County,Date,Age,trachea.diameter,segment_width,prop_trachea,log_mass,mass13,log_mtl,sus,BMI.tars,BMI.trach,BMI.wing,glottis_opening_length,larynx_width,brochus_width,syrnix_length_middle
222,NA,NA,40067,Antigone canadensis canadensis,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,479,58.6,67.7,183,NMDGF,3318,NA,674,NA,3,NA,Adult,10,NA,0.203134418,3.520876382,14.91507565,2.828659897,chill,10.40311744,0.766912626,1.518429574,,,,
250,NA,NA,40147,Antigone canadensis tabida,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,193,526,87.8,99.7,246,NMDGF,5222,NA,730,NA,3,NA,Adult,11,NA,0.139793183,3.717836867,17.34918012,2.86332286,chill,9.06057902,1.028917245,1.981776518,,,,
220,NA,NA,40172,Antigone canadensis canadensis,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158,429,62.3,69.3,189,NMDGF,2990,NA,554,NA,3,NA,Adult,9.5,NA,0.185284281,3.475671188,14.40645287,2.743509765,chill,8.788947678,1.022918323,1.705869888,,,,
242,NA,NA,40320,Antigone canadensis tabida,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,211,534,90.9,107,247,NMDGF,5807,NA,788,NA,3,NA,Adult,10.8,NA,0.135698295,3.763951826,17.974243,2.896526217,chill,9.994181186,0.981948453,2.138250642,,,,
231,NA,NA,40510,Antigone canadensis canadensis,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175,448,59.8,71.9,190,NMDGF,3403,NA,604,NA,3,NA,Adult,9.1,NA,0.17749045,3.531861949,15.04136729,2.781036939,chill,9.897922438,0.97943895,1.780308315,,,,
232,NA,NA,40668,Antigone canadensis tabida,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197,543,89.4,106,256,NMDGF,6106,NA,800,NA,2,NA,Adult,11.1,NA,0.13101867,3.7857568,18.27759009,2.903089987,chill,9.782867432,1.001765625,2.17443505,,,,
238,NA,NA,40770,Antigone canadensis tabida,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208,530,83.4,98.8,244,NMDGF,5905,NA,731,NA,2,NA,Adult,12.6,NA,0.123793395,3.771219902,18.07479168,2.863917377,chill,10.41428715,1.160311101,2.207280171,,,,
235,NA,NA,40977,Antigone canadensis tabida,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201,530,82.5,93.7,247,NMDGF,5210,NA,682,NA,2,NA,Adult,10,NA,0.130902111,3.716837723,17.33588062,2.833784375,chill,8.96670983,1.176137976,1.94749021,,,,
244,NA,NA,41030,Antigone canadensis tabida,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197,533,89.3,106.2,247,NMDGF,6121,NA,768,NA,3,NA,Adult,11.8,NA,0.125469694,3.786822379,18.29254476,2.88536122,chill,10.53459326,1.089655558,2.262336803,,,,
263,NA,NA,41080,Antigone canadensis canadensis,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159,446,57.1,67,191,NMDGF,3033,NA,522,NA,3,NA,Immature,10.2,NA,0.172106825,3.48187241,14.47518546,2.717670503,NA,8.729612675,1.168747523,1.601002433,,,,
233,NA,NA,41362,Antigone canadensis tabida,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,522,92.2,107.9,243,NMDGF,6046,NA,785,NA,2,NA,Adult,12,NA,0.129837909,3.781468143,18.21752528,2.894869657,chill,10.75090179,1.030191894,2.329788171,,,,
265,NA,NA,41455,Antigone canadensis canadensis,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161,462,64.4,74.8,191,NMDGF,3305,NA,609,NA,3,NA,Immature,9.2,NA,0.184266263,3.519171464,14.89557096,2.784617293,chill,9.512485952,0.935677481,1.625836285,,,,
216,NA,NA,41474,Antigone canadensis canadensis,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161,461,62.7,72.5,179,NMDGF,3150,NA,677,NA,3,NA,Adult,8.9,NA,0.214920635,3.498310554,14.65897209,2.830588669,chill,10.32271153,0.721643186,1.556316788,,,,
234,NA,NA,41750,Antigone canadensis tabida,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,529,77.7,88.8,254,NMDGF,5755,NA,725,NA,2,NA,Adult,11,NA,0.125977411,3.760045328,17.92043067,2.860338007,chill,9.366281233,1.149631391,2.159351203,,,,
236,NA,NA,42298,Antigone canadensis tabida,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194,503,77.7,90.9,236,NMDGF,5299,NA,682,NA,2,NA,Adult,10.2,NA,0.128703529,3.72419392,17.43403739,2.833784375,chill,9.989855645,1.196229393,2.199111494,,,,
