,NK,taxon_name,sex,bursa,data.origin,NMDGF,sample_year,length_mm_1,length_mm_2,length_mm_3,anterior_width,poserior_width,width_2nd_curve,width_straight_mdpt,mass_trachea+syrinx,segment_count1,segment_count2,tail,wing.chord,anterior.culmen,posterior.culmen,tarsus,mass,width_1st_curve,mean_trachea_length,segment_count_mean,trachea.diameter,segment_width,log_mass,mass13,prop_trachea,log_mtl,BMI.tars,BMI.trach,BMI.wing,log_mass.z,mass13.z,segment_count.z,segment_width.z,prop_trachea.z,r,glottis_opening_length,larynx_width,brochus_width
205,40020,Antigone canadensis tabida,M,NA,NMDGF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,206,546,76.8,92.7,241,6127,NA,779,NA,11,NA,3.78724788,18.29851979,42.57174946,2.891537458,11.07651383,1.060137664,2.158002254,1.588529151,1.609594222,NA,NA,0.874001333,0.008754656,,,
189,40327,Antigone canadensis canadensis,M,NA,NMDGF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175,448,59.8,71.9,190,3403,NA,604,NA,9.1,NA,3.531861949,15.04136729,40.15592388,2.781036939,9.897922438,0.97943895,1.780308315,0.096303747,0.079935817,NA,NA,-0.182734036,-0.006109671,,,
181,40885,Antigone canadensis canadensis,F,NA,NMDGF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174,456,66.4,75.7,191,3480,NA,567,NA,9.2,NA,3.541579244,15.1539697,37.4159386,2.753583059,10.0161728,1.136586322,1.757271468,0.334173953,0.316745781,NA,NA,-1.058455406,-0.039828631,,,
208,40957,Antigone canadensis tabida,M,NA,NMDGF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185,500,93,106.7,244,5195,NA,739,NA,11.8,NA,3.715585552,17.31922751,42.66933958,2.868644438,9.162103601,0.998817112,2.1819,-0.258686131,-0.27210039,NA,NA,0.906246936,0.033439799,,,
176,40972,Antigone canadensis canadensis,F,NA,NMDGF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162,451,57.4,68,175,3169,NA,601,NA,9.3,NA,3.500922239,14.68838609,40.91668044,2.778874472,10.86514286,0.92121838,1.635906411,-0.661071147,-0.662405886,NA,NA,0.060409892,0.011675778,,,
212,41311,Antigone canadensis tabida,M,NA,NMDGF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194,514,97.3,113.8,247,5273,NA,820,NA,12.5,NA,3.722057771,17.40547676,47.1116081,2.913813852,9.075136455,0.823416121,2.09566004,-0.091853949,-0.106373819,NA,NA,2.374055499,0.074312167,,,
213,41554,Antigone canadensis tabida,F,NA,NMDGF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190,502,84.4,98.7,212,4854,NA,724,NA,11.4,NA,3.686099772,16.93167501,42.76009311,2.859738566,11.34011214,0.972326089,2.022467897,-1.018730975,-1.016776381,NA,NA,0.936233597,0.04411017,,,
186,41625,Antigone canadensis canadensis,F,NA,NMDGF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168,457,58,68.7,172,3172,NA,580,NA,9,NA,3.501333179,14.69301965,39.47452693,2.763427994,11.25811249,0.990071344,1.594740698,-0.651011737,-0.652661216,NA,NA,-0.400513991,-0.004035648,,,
197,41762,Antigone canadensis tabida,M,NA,NMDGF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,195,522,82.8,99,245,5770,NA,802,NA,11.2,NA,3.761175813,17.93598661,44.71457397,2.904174368,10.09329446,0.941925112,2.223433303,0.91647841,0.912992454,NA,NA,1.582030611,0.038701373,,,
203,41952,Antigone canadensis tabida,F,NA,NMDGF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197,514,79.5,91.3,231,5256,NA,710,NA,11.9,NA,3.720655357,17.38675171,40.83568984,2.851258349,10.34238489,1.094782781,2.088903693,-0.128003514,-0.142353718,NA,NA,0.300374781,0.012687757,,,
204,42449,Antigone canadensis tabida,F,NA,NMDGF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197,516,82.7,98.6,239,5147,NA,686,NA,12,NA,3.711554168,17.26572116,39.73190542,2.836324116,9.461231421,1.148405426,2.029757076,-0.362601726,-0.374912002,NA,NA,-0.064336226,0.003795998,,,
